42.235.2.214,34.6836,113.5325
192.53.151.66,37.3762,-122.1826
35.92.181.153,42.2776,-83.7409
188.131.250.85,55.75,37.6166
186.110.241.113,-34.6033,-58.3817
31.76.205.175,51.5,-0.13
77.105.79.251,60.4,25.6667
217.126.230.216,39.8733,-4.0445
208.223.111.69,38,-97
101.148.127.181,39.9289,116.3883
125.191.175.112,37.57,126.98
120.239.242.166,35,105
148.234.223.42,20.4833,-99.9167
140.75.103.150,36.6683,116.9972
28.48.187.61,38,-97
24.97.0.115,38,-97
168.70.84.27,22.35,114.1833
57.43.167.193,47,8
183.82.121.134,17.3753,78.4744
52.91.235.247,39.5645,-75.597
48.140.48.46,40.7357,-74.1724
196.64.64.158,0,0
68.104.18.99,36.1443,-115.2794
192.113.132.212,52.3667,4.9
187.161.199.11,25.425,-98.3542
207.125.169.64,35.9828,-86.5186
76.134.28.177,38,-97
72.183.96.231,30.4564,-97.6938
220.107.112.88,35.685,139.7514
92.147.66.29,49.6478,2.5699
215.156.180.142,38,-97
211.204.247.196,37.57,126.98
104.129.8.53,30.3246,-81.6851
100.177.76.108,38,-97
95.226.144.162,45.45,11
115.190.114.215,35,105
128.172.57.239,37.5538,-77.4603
124.220.124.38,39.9289,116.3883
12.193.208.204,41.0917,-73.4316
139.232.162.145,29.4241,-98.4936
8.242.21.3,38,-97
152.215.105.169,39.0437,-77.4875
147.8.172.223,22.2833,114.15
36.236.1.135,23.5,121
32.30.69.189,38,-97
180.209.85.46,32.0617,118.7778
175.3.153.100,28.1792,113.1136
64.231.236.11,45.5155,-73.6292
60.24.49.65,39.1422,117.1767
55.73.117.119,31.5273,-110.3607
204.252.133.231,38,-97
199.46.201.30,42.403,-71.259
195.94.13.84,15,48
88.19.30.196,36.6865,-6.1361
84.67.97.250,20,77
79.116.165.49,45.3008,21.8892
223.89.249.216,34.3833,115.6167
219.137.61.15,23.1167,113.25
112.62.78.127,35,105
103.159.213.235,0,0
136.105.126.57,42.3223,-83.1763
7.144.79.253,38,-97
131.153.193.111,42.6849,-73.8318
20.126.22.22,38.864,-77.1922
147.165.231.218,31.5273,-110.3607
16.175.90.76,37.3762,-122.1826
11.223.157.130,39.9612,-82.9988
159.148.174.243,56.95,24.1
31.187.127.183,52.1667,8.6167
155.196.241.42,0,0
151.245.54.96,35.6961,51.4231
44.169.70.208,32.8072,-117.1649
171.208.24.149,30.6667,104.0667
39.218.138.7,-6.175,106.8286
183.191.222.173,35.4282,110.8118
55.230.175.114,31.5273,-110.3607
174.33.102.26,38,-97
68.212.118.138,33.8181,-84.3604
194.251.72.79,60.1708,24.9375
63.6.186.192,39.0437,-77.4875
59.54.253.246,28.55,115.9333
207.234.15.103,36.1473,-86.777
79.18.223.44,41.8333,12.5667
202.27.82.157,-41,174
91.0.166.69,51.2667,9.7833
218.39.120.9,37.5985,126.9783
87.49.234.123,55.6761,12.5683
102.61.16.230,0,0
115.43.214.254,22.9933,120.2036
111.92.27.53,8.5069,76.9569
126.104.64.160,35.69,139.69
23.108.159.150,33.6748,-111.9519
150.147.113.91,38.6784,-90.377
19.156.226.204,42.3223,-83.1763
163.129.55.115,40.4623,-80.031
34.168.9.56,29.6997,-95.5858
158.178.123.169,53.3333,-1.2833
47.151.207.80,45.3155,-75.837
174.190.161.21,38,-97
43.199.20.134,35.685,139.7514
186.172.103.45,-33.45,-70.6667
58.211.57.241,32.0617,118.7778
182.220.171.99,37.5985,126.9783
202.184.141.152,3.1698,101.7026
71.194.0.10,41.4619,-87.0008
198.233.209.206,38,-97
66.242.68.64,45.7375,-94.9525
86.206.37.117,45.8315,1.2578
210.215.151.231,-33.8708,151.2389
82.254.105.172,48.86,2.35
206.8.219.30,45.1719,-93.8747
95.237.48.196,43.6766,10.5468
221.21.2.137,35.685,139.7514